Rk,Year,Conf,W,L,T,Pct,W,L,T,Pct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
89,1934,Western,1,7,0,.125,0,6,0,.000,-3.99,9.14,,,,Harry Kipke (1-7),,
90,1933,Western,7,0,1,.938,5,0,1,.917,24.49,11.74,,,,Harry Kipke (7-0-1),,
91,1932,Western,8,0,0,1.000,6,0,0,1.000,22.83,9.83,,,,Harry Kipke (8-0),,
92,1931,Western,8,1,1,.850,5,1,0,.833,13.37,0.17,,,,Harry Kipke (8-1-1),,
93,1930,Western,8,0,1,.944,5,0,0,1.000,12.40,2.51,,,,Harry Kipke (8-0-1),,
94,1929,Western,5,3,1,.611,1,3,1,.300,8.82,5.49,,,,Harry Kipke (5-3-1),,
95,1928,Western,3,4,1,.438,2,3,0,.400,3.79,5.66,,,,Tad Wieman (3-4-1),,
96,1927,Western,6,2,0,.750,3,2,0,.600,17.85,6.85,,,,Tad Wieman (6-2),,
97,1926,Western,7,1,0,.875,5,0,0,1.000,22.77,9.15,,,,Fielding Yost (7-1),,
98,1925,Western,7,1,0,.875,5,1,0,.833,22.64,6.76,,,,Fielding Yost (7-1),,
99,1924,Western,6,2,0,.750,4,2,0,.667,11.08,2.58,,,,George Little (6-2),,
100,1923,Western,8,0,0,1.000,4,0,0,1.000,16.53,1.28,,,,Fielding Yost (8-0),,
101,1922,Western,6,0,1,.929,4,0,0,1.000,18.28,2.99,,,,Fielding Yost (6-0-1),,
102,1921,Western,5,1,1,.786,2,1,1,.625,13.16,0.45,,,,Fielding Yost (5-1-1),,
103,1920,Western,5,2,0,.714,2,2,0,.500,15.32,4.46,,,,Fielding Yost (5-2),,
104,1919,Western,3,4,0,.429,1,4,0,.200,3.56,5.56,,,,Fielding Yost (3-4),,
105,1918,Western,5,0,0,1.000,2,0,0,1.000,21.72,5.52,,,,Fielding Yost (5-0),,
106,1917,Western,8,2,0,.800,0,1,0,.000,9.59,-3.71,,,,Fielding Yost (8-2),,
107,1916,Ind,7,2,0,.778,,,,,6.90,-5.77,,,,Fielding Yost (7-2),,
108,1915,Ind,4,3,1,.563,,,,,-1.27,-4.52,,,,Fielding Yost (4-3-1),,
109,1914,Ind,6,3,0,.667,,,,,8.11,-1.11,,,,Fielding Yost (6-3),,
110,1913,Ind,6,1,0,.857,,,,,14.51,-1.07,,,,Fielding Yost (6-1),,
111,1912,Ind,5,2,0,.714,,,,,1.31,-7.83,,,,Fielding Yost (5-2),,
112,1911,Ind,5,1,2,.750,,,,,7.95,0.20,,,,Fielding Yost (5-1-2),,
113,1910,Ind,3,0,3,.750,,,,,5.01,0.84,,,,Fielding Yost (3-0-3),,
114,1909,Ind,6,1,0,.857,,,,,9.14,-0.86,,,,Fielding Yost (6-1),,
